language,Burkina Faso,Cameroon,Central African Republic,Chad,Ethiopia,Gabon,Ivory Coast,Mauritania,Nigeria,Somalia,South Sudan,Sudan
Kung,,12,,,,,,,,,,
Goundo,,,,30,,,,,,,,
Mbre,,,,,,,50,,,,,
Boon,,,,,,,,,,60,,
Defaka,,,,,,,,,200,,,
Kelo,,,,,,,,,,,,200
Mbuʼ,,200,,,,,,,,,,
Birri,,,200,,,,,,,,,
Paleni,260,,,,,,,,,,,
Áncá,,300,,,,,,,,,,
Aja,,,200,,,,,,,,200,
Missong,,400,,,,,,,,,,
Shabo,,,,,400,,,,,,,
Osatu,,400,,,,,,,,,,
Nding,,,,,,,,,,,,400
Mbowe,,460,,,,,,,,,,
Mundabli,,500,,,,,,,,,,
Imraguen,,,,,,,,530,,,,
Geme,,,550,,,,,,,,,
Mbuk,,600,,,,,,,,,,
Eman,,800,,,,,,,,,,
Abon,,800,,,,,,,,,,
Ambo,,,,,,,,,1000,,,
Buru–Angwe,,,,,,,,,1000,,,
Sighu,,,,,,1000,,,,,,
Kwaʼ,,1000,,,,,,,,,,
