year,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune
2007,9,17,142,29,25,31,2,1
2008,19,16,135,35,29,23,0,2
2009,13,17,143,25,24,30,1,5
2010,7,19,143,28,14,23,3,2
2011,13,14,155,26,25,21,5,4
2012,9,36,152,24,31,22,0,1
2013,10,12,175,15,13,23,2,3
2014,3,15,166,35,19,21,3,3
2015,8,29,172,30,29,21,3,4
2016,16,12,170,32,28,26,2,2
2017,9,21,156,17,31,34,2,3
2018,5,15,180,38,32,24,2,0
2019,15,13,179,23,34,31,1,2
2020,19,30,187,30,40,35,2,2
2021,6,13,181,39,24,17,4,1
2022,11,14,177,28,26,27,5,4
2023,6,23,179,24,31,17,4,5
2024,10,12,176,16,23,13,2,4
2025,9,17,178,24,22,22,2,2
