source,target,capital_stock
Brazilian capital,Small enterprise,27300875940698.715
Small enterprise,LLC,27300286627644.05
Brazilian capital,Other,21278265850350.934
Other,LLC,20574951710324.277
Brazilian capital,Micro enterprise,1409569420479.22
Micro enterprise,LLC,1201120520849.78
Other,Privately Held Corporation,487636522361.49036
Micro enterprise,Sole Proprietorship,172644830497.42975
Other,Publicly Traded Corporation,164485179899.22003
Micro enterprise,Other Type,34537537836.44999
Other,Partnership,34095512889.780006
Other,Sole Proprietorship,6151224231.48
Other,State-Owned Enterprise,5399925267.08
Other,Other Type,3762019550.51
Other,Cooperative,1783755827.0999997
Micro enterprise,Partnership,700749696.0000001
Micro enterprise,Privately Held Corporation,565781599.56
Small enterprise,Sole Proprietorship,410219550.0
Small enterprise,Partnership,176319504.66000003
Small enterprise,Other Type,2300000.0
Small enterprise,Privately Held Corporation,474000.0
