discipline_name,medal_events,non_medal_events,training_events
Curling,8.0,428.0,0.0
Freestyle Skiing,45.0,177.0,0.0
Snowboard,33.0,159.0,0.0
Ice Hockey,5.0,168.0,0.0
Bobsleigh,11.0,35.0,72.0
Short Track Speed Skating,27.0,87.0,0.0
Luge,15.0,24.0,70.0
Ski Jumping,18.0,39.0,30.0
Speed Skating,42.0,36.0,0.0
Alpine Skiing,30.0,18.0,20.0
Skeleton,9.0,18.0,36.0
Cross-Country Skiing,35.0,24.0,0.0
Figure Skating,15.0,33.0,0.0
Nordic Combined,9.0,18.0,18.0
Biathlon,33.0,0.0,0.0
Ski Mountaineering,9.0,12.0,0.0
