programme_name,research_body,commitment,total_commitment
Research Centres Programme,Trinity College Dublin (TCD),231934273.31,990686406.5899999
Research Centres Programme,University of Galway,203510138.09000003,990686406.5899999
Research Centres Programme,University of Limerick (UL),159069296.0,990686406.5899999
Research Centres Programme,University College Dublin (UCD),141474204.92000002,990686406.5899999
Research Centres Programme,University College Cork (UCC),126243510.75999999,990686406.5899999
Research Centres Programme,Teagasc,51860443.0,990686406.5899999
Research Centres Programme,Tyndall National Institute (TNI),48053469.510000005,990686406.5899999
Research Centres Programme,RCSI University of Medicine and Health Science (RCSI),33541071.0,990686406.5899999
Research Centres Programme,"Department of Agriculture, Food and the Marine (DAFM)",-5000000.0,990686406.5899999
Principal Investigator Programme,Trinity College Dublin (TCD),184724525.45999995,594447953.0200002
Principal Investigator Programme,University College Dublin (UCD),112587347.30999999,594447953.0200002
Principal Investigator Programme,University College Cork (UCC),71433817.75999999,594447953.0200002
Principal Investigator Programme,Tyndall National Institute (TNI),65520733.449999996,594447953.0200002
Principal Investigator Programme,University of Galway,41724358.42999999,594447953.0200002
Principal Investigator Programme,Dublin City University (DCU),31980358.610000003,594447953.0200002
Principal Investigator Programme,University of Limerick (UL),30776094.66,594447953.0200002
Principal Investigator Programme,Maynooth University (MU),29446912.28,594447953.0200002
Principal Investigator Programme,RCSI University of Medicine and Health Science (RCSI),14420290.009999998,594447953.0200002
Principal Investigator Programme,Technological University Dublin (TU Dublin),5098294.37,594447953.0200002
Principal Investigator Programme,South East Technological University (SETU),3028793.42,594447953.0200002
Principal Investigator Programme,Teagasc,1163002.0,594447953.0200002
Principal Investigator Programme,Dublin Institute for Advanced Studies (DIAS),1104016.0,594447953.0200002
Principal Investigator Programme,Munster Technological University (MTU),811758.03,594447953.0200002
Principal Investigator Programme,Dundalk Institute of Technology (DkIT),627651.23,594447953.0200002
Centres for Science Engineering and Technology Programme,Trinity College Dublin (TCD),95338296.74,313121690.73
Centres for Science Engineering and Technology Programme,Dublin City University (DCU),58119679.7,313121690.73
Centres for Science Engineering and Technology Programme,University of Galway,50864203.449999996,313121690.73
Centres for Science Engineering and Technology Programme,University College Cork (UCC),38641110.33,313121690.73
Centres for Science Engineering and Technology Programme,University College Dublin (UCD),34537422.86,313121690.73
Centres for Science Engineering and Technology Programme,University of Limerick (UL),27700801.72,313121690.73
Centres for Science Engineering and Technology Programme,RCSI University of Medicine and Health Science (RCSI),7096876.83,313121690.73
Centres for Science Engineering and Technology Programme,South East Technological University (SETU),823299.1,313121690.73
Research Infrastructure Programme,Tyndall National Institute (TNI),47431927.43,237279046.4099999
Research Infrastructure Programme,Trinity College Dublin (TCD),37842911.5,237279046.4099999
Research Infrastructure Programme,University of Galway,27708422.14,237279046.4099999
Research Infrastructure Programme,University of Limerick (UL),26808812.84,237279046.4099999
Research Infrastructure Programme,University College Cork (UCC),25643041.490000002,237279046.4099999
Research Infrastructure Programme,University College Dublin (UCD),17631275.78,237279046.4099999
Research Infrastructure Programme,Dublin City University (DCU),10842655.67,237279046.4099999
Research Infrastructure Programme,RCSI University of Medicine and Health Science (RCSI),8439216.3,237279046.4099999
Research Infrastructure Programme,South East Technological University (SETU),7718966.54,237279046.4099999
Research Infrastructure Programme,Maynooth University (MU),7340174.57,237279046.4099999
Research Infrastructure Programme,Teagasc,5135862.66,237279046.4099999
Research Infrastructure Programme,Dublin Institute for Advanced Studies (DIAS),4663408.0,237279046.4099999
Research Infrastructure Programme,The National Institute for Bioprocessing Research and Training (NIBRT),4541626.75,237279046.4099999
Research Infrastructure Programme,Technological University Dublin (TU Dublin),2258552.94,237279046.4099999
Research Infrastructure Programme,Marine Institute,2041566.0,237279046.4099999
Research Infrastructure Programme,Sustainable Energy Authority of Ireland (SEAI),690211.5,237279046.4099999
Research Infrastructure Programme,Munster Technological University (MTU),540414.3,237279046.4099999
Investigator Programme,Trinity College Dublin (TCD),76293605.26,228685394.2800001
Investigator Programme,University College Dublin (UCD),44469490.89,228685394.2800001
Investigator Programme,University of Galway,20569762.02,228685394.2800001
Investigator Programme,University College Cork (UCC),17149693.42,228685394.2800001
Investigator Programme,Tyndall National Institute (TNI),16867815.02,228685394.2800001
