date,1st Quartile,Median,3rd Quartile
2020-01-01,0.26,0.58,1.46
2020-02-01,0.25,0.6,1.45
2020-03-01,0.28,0.62,1.45
2020-04-01,0.27,0.6,1.44
2020-05-01,0.22,0.55,1.3
2020-06-01,0.17,0.41,0.97
2020-07-01,0.15,0.34,0.84
2020-08-01,0.2,0.41,1.1
2020-09-01,0.2,0.44,1.06
2020-10-01,0.23,0.48,1.19
2020-11-01,0.21,0.46,1.02
2020-12-01,0.29,0.6,1.37
2021-01-01,0.29,0.61,1.42
2021-02-01,0.27,0.63,1.44
2021-03-01,0.35,0.83,1.91
2021-04-01,0.31,0.74,1.73
2021-05-01,0.24,0.62,1.79
2021-06-01,0.18,0.44,1.28
2021-07-01,0.18,0.45,1.14
2021-08-01,0.23,0.45,1.04
2021-09-01,0.26,0.49,1.03
2021-10-01,0.26,0.51,1.1
2021-11-01,0.24,0.45,1.04
2021-12-01,0.31,0.62,1.42
2022-01-01,0.32,0.67,1.49
2022-02-01,0.32,0.7,1.57
2022-03-01,0.38,0.82,1.88
2022-04-01,0.33,0.73,1.68
2022-05-01,0.29,0.56,1.27
2022-06-01,0.21,0.42,1.07
2022-07-01,0.18,0.4,0.95
2022-08-01,0.21,0.46,1.11
2022-09-01,0.25,0.49,1.17
2022-10-01,0.25,0.5,1.23
2022-11-01,0.29,0.64,1.47
2022-12-01,0.36,0.69,1.65
2023-01-01,0.41,0.85,1.9
2023-02-01,0.37,0.78,1.64
2023-03-01,0.41,0.83,1.96
2023-04-01,0.33,0.73,1.43
2023-05-01,0.33,0.68,1.5
2023-06-01,0.23,0.52,1.25
2023-07-01,0.16,0.35,0.86
2023-08-01,0.21,0.44,0.98
2023-09-01,0.31,0.6,1.33
2023-10-01,0.3,0.58,1.33
2023-11-01,0.31,0.67,1.41
2023-12-01,0.35,0.79,1.71
2024-01-01,0.35,0.76,1.78
2024-02-01,0.39,0.84,1.81
2024-03-01,0.35,0.76,1.48
2024-04-01,0.31,0.65,1.19
2024-05-01,0.24,0.5,1.11
2024-06-01,0.17,0.36,0.84
2024-07-01,0.19,0.38,0.75
2024-08-01,0.29,0.52,1.04
2024-09-01,0.3,0.56,1.26
2024-10-01,0.29,0.54,1.11
2024-11-01,0.26,0.49,1.06
2024-12-01,0.28,0.55,1.11
2025-01-01,0.31,0.59,1.33
2025-02-01,0.27,0.53,1.24
2025-03-01,0.27,0.53,1.13
2025-04-01,0.26,0.53,1.08
2025-05-01,0.21,0.5,1.27
2025-06-01,0.19,0.4,0.96
2025-07-01,0.2,0.44,1.01
2025-08-01,0.24,0.52,1.24
2025-09-01,0.28,0.56,1.27
2025-10-01,0.26,0.58,1.18
2025-11-01,0.26,0.48,1.07
2025-12-01,0.28,0.54,1.1
